OCCUR_DATE,OCCUR_TIME,BORO,PRECINCT,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE
5/27/2021,21:30:00,QUEENS,105,,FALSE,,,,18-24,M,BLACK
6/27/2014,17:40:00,BRONX,40,,FALSE,,,,18-24,M,BLACK
11/21/2015,3:56:00,QUEENS,108,,TRUE,,,,25-44,M,WHITE
10/9/2015,18:30:00,BRONX,44,,FALSE,,,,<18,M,WHITE HISPANIC
2/19/2009,22:58:00,BRONX,47,,TRUE,25-44,M,BLACK,45-64,M,BLACK
10/21/2020,21:36:00,BROOKLYN,81,,TRUE,,,,25-44,M,BLACK
6/17/2012,22:47:00,QUEENS,114,,FALSE,,,,25-44,M,BLACK
3/8/2010,19:41:00,BROOKLYN,81,,TRUE,,,,18-24,M,BLACK
2/5/2012,5:45:00,QUEENS,105,,FALSE,,,,25-44,M,BLACK
8/26/2012,1:10:00,QUEENS,101,MULTI DWELL - APT BUILD,FALSE,25-44,M,BLACK,25-44,M,BLACK
10/10/2010,3:21:00,MANHATTAN,23,MULTI DWELL - PUBLIC HOUS,FALSE,,,,25-44,M,BLACK
8/29/2010,1:27:00,BROOKLYN,75,GROCERY/BODEGA,FALSE,25-44,M,BLACK,25-44,M,BLACK
10/9/2021,20:17:00,BROOKLYN,71,,FALSE,,,,25-44,M,BLACK
5/25/2011,21:58:00,BRONX,50,,FALSE,UNKNOWN,U,UNKNOWN,18-24,M,WHITE
11/9/2008,20:13:00,BROOKLYN,78,MULTI DWELL - PUBLIC HOUS,FALSE,UNKNOWN,U,UNKNOWN,25-44,M,BLACK HISPANIC
7/5/2007,1:27:00,BRONX,47,MULTI DWELL - PUBLIC HOUS,FALSE,UNKNOWN,M,UNKNOWN,18-24,M,BLACK
7/27/2010,2:22:00,MANHATTAN,30,,TRUE,25-44,M,BLACK,25-44,M,BLACK
